classe;caderno;grupo;codigo_cc;descricao;unid;nova;codins;insumo;unidins;tipo_insumo;nome_obra;id_ccoi_elemento;id_appropriation_composition;app_inicio;app_fim;qntd;qs;data;qntd_acum;qs_acum;ip_d;ip_acum;elemento
FURAÇÃO EM CONCRETO ARMADO;INFRA;RECUPERAÇÃO ESTRUTURAL DE OBRAS DE ARTE (PONTES E VIADUTOS);10-24-07;"FURAÇÃO EM CONCRETO ARMADO - DIÂMETRO 4""";CM;0;;OPERADOR DE MÁQUINA LEVE (SGSP);H;MAO DE OBRA;;1968;2848;2020-11-23 10:40:00 UTC;2020-11-23 12:05:00 UTC;1,42;70;2020-11-23 11:22:30 UTC;1,42;70;0,020285714;0,020285714;1
FURAÇÃO EM CONCRETO ARMADO;INFRA;RECUPERAÇÃO ESTRUTURAL DE OBRAS DE ARTE (PONTES E VIADUTOS);10-24-07;"FURAÇÃO EM CONCRETO ARMADO - DIÂMETRO 4""";CM;0;;PERFURADORA DIAMANTADA;H;EQUIPAMENTO;;812;2849;2020-11-23 10:40:00 UTC;2020-11-23 12:05:00 UTC;1,42;70;2020-11-23 11:22:30 UTC;1,42;70;0,020285714;0,020285714;1
REMOÇÃO DE MATERIAL;INFRA;MOVIMENTO DE TERRA;04-60-00;REMOÇÃO DE TERRA ALÉM DO PRIMEIRO KM;M3XKM;0;;CAMINHÃO BASCULANTE;H;EQUIPAMENTO;;827;29604;2020-11-23 09:13:00 UTC;2020-11-23 14:21:00 UTC;5,133333333;529,2;2020-11-23 11:47:00 UTC;5,133333333;529,2;0,009700176;0,009700176;1
CONCRETO USINADO;INFRA;GALERIAS MOLDADAS, CÓRREGOS E DRENAGEM;07-17-00;FORNECIMENTO E APLICAÇÃO DE CONCRETO USINADO FCK=30,0MPA;M3;0;2020;PEDREIRO (SGSP);H;MAO DE OBRA;;1880;2600;2020-11-23 13:25:00 UTC;2020-11-23 15:00:00 UTC;6,33;8;2020-11-23 14:12:30 UTC;6,33;8;0,79125;0,79125;1
CONCRETO USINADO;INFRA;GALERIAS MOLDADAS, CÓRREGOS E DRENAGEM;07-17-00;FORNECIMENTO E APLICAÇÃO DE CONCRETO USINADO FCK=30,0MPA;M3;0;2099;AJUDANTE (SGSP);H;MAO DE OBRA;;1881;2601;2020-11-23 13:25:00 UTC;2020-11-23 15:00:00 UTC;7,92;8;2020-11-23 14:12:30 UTC;7,92;8;0,99;0,99;1
REMOÇÃO DE MATERIAL;INFRA;MOVIMENTO DE TERRA;04-60-00;REMOÇÃO DE TERRA ALÉM DO PRIMEIRO KM;M3XKM;0;;CAMINHÃO BASCULANTE;H;EQUIPAMENTO;;921;30884;2020-11-24 08:31:00 UTC;2020-11-24 11:05:00 UTC;2,566666667;653,18;2020-11-24 09:48:00 UTC;7,7;1182,38;0,003929494;0,006512289;2
FURAÇÃO EM CONCRETO ARMADO;INFRA;RECUPERAÇÃO ESTRUTURAL DE OBRAS DE ARTE (PONTES E VIADUTOS);10-24-07;"FURAÇÃO EM CONCRETO ARMADO - DIÂMETRO 4""";CM;0;;OPERADOR DE MÁQUINA LEVE (SGSP);H;MAO DE OBRA;;1969;2851;2020-11-24 14:58:00 UTC;2020-11-24 15:15:00 UTC;0,28;70;2020-11-24 15:06:30 UTC;1,7;140;0,004;0,012142857;2
FURAÇÃO EM CONCRETO ARMADO;INFRA;RECUPERAÇÃO ESTRUTURAL DE OBRAS DE ARTE (PONTES E VIADUTOS);10-24-07;"FURAÇÃO EM CONCRETO ARMADO - DIÂMETRO 4""";CM;0;;PERFURADORA DIAMANTADA;H;EQUIPAMENTO;;813;2852;2020-11-24 14:58:00 UTC;2020-11-24 15:15:00 UTC;0,28;70;2020-11-24 15:06:30 UTC;1,7;140;0,004;0,012142857;2
CONCRETO USINADO;INFRA;GALERIAS MOLDADAS, CÓRREGOS E DRENAGEM;07-17-00;FORNECIMENTO E APLICAÇÃO DE CONCRETO USINADO FCK=30,0MPA;M3;0;2020;PEDREIRO (SGSP);H;MAO DE OBRA;;1882;2604;2020-11-25 08:35:00 UTC;2020-11-25 10:40:00 UTC;6,25;14;2020-11-25 09:37:30 UTC;12,58;22;0,446428571;0,571818182;2
CONCRETO USINADO;INFRA;GALERIAS MOLDADAS, CÓRREGOS E DRENAGEM;07-17-00;FORNECIMENTO E APLICAÇÃO DE CONCRETO USINADO FCK=30,0MPA;M3;0;2099;AJUDANTE (SGSP);H;MAO DE OBRA;;1883;2605;2020-11-25 08:35:00 UTC;2020-11-25 10:40:00 UTC;8,33;14;2020-11-25 09:37:30 UTC;16,25;22;0,595;0,738636364;2
